2026-07-08 13:23:25 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_BIOMEDICA-2026-1_PUCP-UPCH.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-biomedica/plan-de-estudios)
2026-07-08 13:23:25 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_BIOMEDICA-2026-1_PUCP-UPCH.pdf
2026-07-08 13:23:25 | INFO     | pipeline             |   100 fragments | 11 candidate rows
2026-07-08 13:23:28 | DEBUG    | crawler              |   HTML (88,316b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-civil/plan-de-estudios
2026-07-08 13:23:29 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_CIVIL-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-civil/plan-de-estudios)
2026-07-08 13:23:29 | DEBUG    | extractor            | PDF extracted: 4 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_CIVIL-2026-1.pdf
2026-07-08 13:23:31 | DEBUG    | crawler              |   HTML (88,076b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-de-minas/plan-de-estudios
2026-07-08 13:23:32 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MINAS-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-de-minas/plan-de-estudios)
2026-07-08 13:23:32 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MINAS-2026-1.pdf
2026-07-08 13:23:34 | DEBUG    | crawler              |   HTML (88,119b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-geologica/plan-de-estudios
2026-07-08 13:23:34 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_GEOLOGICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-geologica/plan-de-estudios)
2026-07-08 13:23:34 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_GEOLOGICA-2026-1.pdf
2026-07-08 13:23:38 | DEBUG    | crawler              |   HTML (88,144b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-industrial/plan-de-estudios
2026-07-08 13:23:38 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_INDUSTRIAL-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-industrial/plan-de-estudios)
2026-07-08 13:23:38 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_INDUSTRIAL-2026-1.pdf
2026-07-08 13:23:41 | DEBUG    | crawler              |   HTML (88,103b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-mecanica/plan-de-estudios
2026-07-08 13:23:41 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MECANICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-mecanica/plan-de-estudios)
2026-07-08 13:23:41 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MECANICA-2026-1.pdf
2026-07-08 13:23:44 | DEBUG    | crawler              |   HTML (88,118b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-mecatronica/plan-de-estudios
2026-07-08 13:23:44 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MECATRONICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-mecatronica/plan-de-estudios)
2026-07-08 13:23:44 | DEBUG    | extractor            | PDF extracted: 3 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MECATRONICA-2026-1.pdf
2026-07-08 13:23:47 | DEBUG    | crawler              |   HTML (87,850b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-quimica/plan-de-estudios
2026-07-08 13:23:47 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_INGENIERIA-QUIMICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-quimica/plan-de-estudios)
2026-07-08 13:23:47 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_INGENIERIA-QUIMICA-2026-1.pdf
2026-07-08 13:23:50 | DEBUG    | crawler              |   HTML (87,455b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/matematicas/plan-de-estudios
2026-07-08 13:23:50 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MATEMATICAS-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/matematicas/plan-de-estudios)
2026-07-08 13:23:50 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_MATEMATICAS-2026-1.pdf
2026-07-08 13:25:41 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arquitectura/informacion-academica/plan-de-estudios
2026-07-08 13:25:41 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arquitectura/informacion-academica/plan-de-estudios
2026-07-08 13:27:31 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/arte/informacion-academica/educacion-artistica/presentacion
2026-07-08 13:27:32 | WARNING  | crawler              |   HTTP 404: https://facultad.pucp.edu.pe/arte/informacion-academica/educacion-artistica/presentacion
